"id","ip","user-agent","lang","cookie","time","method","uri"
"41","83.220.237.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 YaBrowser/22.11.3.818 Yowser/2.5 Safari/537.36","ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3","g5VHpg5N9GuA0cUByhoyBcBofuNLnQK7eyztyIOf","1672118516","GET","/arenda-avto-feodosiya"
"42","83.220.237.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 YaBrowser/22.11.3.818 Yowser/2.5 Safari/537.36","ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3","g5VHpg5N9GuA0cUByhoyBcBofuNLnQK7eyztyIOf","1672118705","GET","/car"
"43","83.220.236.101","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 YaBrowser/22.11.3.818 Yowser/2.5 Safari/537.36","ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3","g5VHpg5N9GuA0cUByhoyBcBofuNLnQK7eyztyIOf","1672118881","GET","/arenda-avto-yalta"
"44","95.153.161.76","Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 YaBrowser/22.11.7.76.10 SA/3 Mobile/15E148 Safari/604.1","ru",NULL,"1672122779","GET","/"
"45","95.153.161.76","Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 YaBrowser/22.11.7.76.10 SA/3 Mobile/15E148 Safari/604.1","ru","0Xky2bdTbjIGeTKnm95gu0bXdFsFvkVk8Uod0Ob3","1672122814","GET","/usloviya-arendy"
"46","85.193.67.121","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1","ru",NULL,"1672124524","GET","/class/ekonom"
"47","85.193.67.121","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1","ru","0t1N8Mu7RVS0DenAx7VCHi2sc1wMfNGdEMvYZu22","1672124529","GET","/car/skoda-rapid"
"48","195.211.23.223","Mozilla/5.0 (compatible; vkShare; +http://vk.com/dev/Share)","ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4",NULL,"1672125636","GET","/blog/sotovaya-svyaz-v-krymu-v-2022-godu"
"49","195.211.23.223","Mozilla/5.0 (compatible; vkShare; +http://vk.com/dev/Share)","ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4",NULL,"1672125636","GET","/apple-touch-icon-precomposed.png"
"50","195.211.23.208","Mozilla/5.0 (compatible; vkShare; +http://vk.com/dev/Share)","ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4",NULL,"1672125636","GET","/apple-touch-icon.png"
"51","85.193.67.121","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1","ru","0t1N8Mu7RVS0DenAx7VCHi2sc1wMfNGdEMvYZu22","1672125704","GET","/car"
"52","85.193.67.121","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1","ru","0t1N8Mu7RVS0DenAx7VCHi2sc1wMfNGdEMvYZu22","1672125706","GET","/body/miniven"
"53","85.193.67.121","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1","ru","0t1N8Mu7RVS0DenAx7VCHi2sc1wMfNGdEMvYZu22","1672125708","GET","/car/mercedes-benz-viano"
"54","194.226.120.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3",NULL,"1672125744","GET","/"
"55","93.158.161.45","Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268",NULL,NULL,"1672126747","GET","/car/mercedes-benz-cl-500"
"56","188.170.82.51","Mozilla/5.0 (Linux; arm_64; Android 10; Redmi Note 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.114 YaApp_Android/22.93.1 YaSearchBrowser/22.93.1 BroPP/1.0 SA/3 Mobile Safari/537.36","ru-RU,ru;q=0.9,en-US;q=0.8,en;q=0.7",NULL,"1672127030","GET","/blog/sotovaya-svyaz-v-krymu-v-2022-godu"
"57","178.128.88.11","python-requests/2.27.1",NULL,NULL,"1672127082","GET","/.env"
"58","178.128.88.11","python-requests/2.27.1",NULL,NULL,"1672127088","GET","/.env"
"59","66.249.65.13","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.115 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",NULL,NULL,"1672127959","GET","/"
"60","209.85.238.209","AdsBot-Google (+http://www.google.com/adsbot.html)",NULL,NULL,"1672128215","GET","/arenda-avto-alusta"
"61","17.241.227.165","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)",NULL,NULL,"1672129262","GET","/arenda-avto-simferopol"
"62","66.249.65.15","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",NULL,NULL,"1672129535","GET","/"
"63","66.249.65.15","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",NULL,NULL,"1672129552","GET","/"
"64","128.140.163.142","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","ru-RU,ru;q=0.9,en-US;q=0.8,en;q=0.7",NULL,"1672129590","GET","/arenda-avto-yalta"
"65","128.140.163.142","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","ru-RU,ru;q=0.9,en-US;q=0.8,en;q=0.7","cPDzssJM6V7ustxMQngevKx3iNvDSVmAV7bCd5SZ","1672129595","GET","/class/ekonom"
"66","128.140.163.142","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","ru-RU,ru;q=0.9,en-US;q=0.8,en;q=0.7","cPDzssJM6V7ustxMQngevKx3iNvDSVmAV7bCd5SZ","1672129599","GET","/car/volkswagen-polo-20152017"
"67","128.140.163.142","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","ru-RU,ru;q=0.9,en-US;q=0.8,en;q=0.7","cPDzssJM6V7ustxMQngevKx3iNvDSVmAV7bCd5SZ","1672129841","GET","/usloviya-arendy"
"68","90.154.71.102","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","ru-RU,ru;q=0.9,en-US;q=0.8,en;q=0.7",NULL,"1672129915","GET","/"
"69","31.210.208.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36,gzip(gfe)",NULL,NULL,"1672129915","GET","/"
"70","194.147.50.113","Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1","ru",NULL,"1672130056","GET","/"
"71","194.147.50.113","Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1","ru","Xt8d08HbaqwYVlEeNOnC1PHwNsZFUN0hNIAY5eQ7","1672130094","GET","/car/hyundai-solaris-20152016"
"72","194.147.50.113","Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1","ru","Xt8d08HbaqwYVlEeNOnC1PHwNsZFUN0hNIAY5eQ7","1672130098","GET","/car/hyundai-solaris-20182020"
"73","178.128.88.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",NULL,NULL,"1672131295","GET","/.env"
"74","185.146.213.12","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","ru-RU,ru;q=0.9,en-US;q=0.8,en;q=0.7",NULL,"1672131418","GET","/"
"75","193.228.135.235","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36","ru-RU,ru;q=0.9,en-US;q=0.8,en;q=0.7",NULL,"1672131777","GET","/?etext=2202.oVFYt1B-bRAYtNHOCeB06mZ1ASuI404pUiMhtGuNlEZdO-XNJ6tfRTPxkU-l-myZMKuYct-lHftr6loCabRtoHZndXZjbWFvdGp1cHNuZnk.7a860beb8405f68183d0c14a9218d3c364f8ba2e&yclid=7731930699455596608"
"76","77.88.5.243","Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)",NULL,NULL,"1672131815","GET","/?etext=2202.oVFYt1B-bRAYtNHOCeB06mZ1ASuI404pUiMhtGuNlEZdO-XNJ6tfRTPxkU-l-myZMKuYct-lHftr6loCabRtoHZndXZjbWFvdGp1cHNuZnk.7a860beb8405f68183d0c14a9218d3c364f8ba2e"
"77","81.92.202.38","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","ru",NULL,"1672133060","GET","/arenda-avto-feodosiya?utm_source=google&utm_medium=cpc&utm_campaign=foxrent&utm_content=&utm_term=%D0%B0%D1%80%D0%B5%D0%BD%D0%B4%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE%20%D1%84%D0%B5%D0%BE%D0%B4%D0%BE%D1%81%D0%B8%D1%8F"
"78","81.92.202.38","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","ru","foUJHElzjQ3gL6AY9RKXzkb6KARIsk1gJhvWqsWY","1672133068","GET","/class/ekonom"
"79","81.92.202.38","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","ru","foUJHElzjQ3gL6AY9RKXzkb6KARIsk1gJhvWqsWY","1672133085","GET","/car/skoda-rapid-2019"
"80","81.92.202.38","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","ru","foUJHElzjQ3gL6AY9RKXzkb6KARIsk1gJhvWqsWY","1672133124","GET","/class/premium"
"81","81.92.202.38","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","ru","foUJHElzjQ3gL6AY9RKXzkb6KARIsk1gJhvWqsWY","1672133131","GET","/class/ekonom"
"82","81.92.202.38","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","ru","foUJHElzjQ3gL6AY9RKXzkb6KARIsk1gJhvWqsWY","1672133143","GET","/car/skoda-rapid-2019"
"83","81.92.202.38","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","ru","foUJHElzjQ3gL6AY9RKXzkb6KARIsk1gJhvWqsWY","1672133169","GET","/car/skoda-rapid-2019"
"84","81.92.202.38","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","ru","foUJHElzjQ3gL6AY9RKXzkb6KARIsk1gJhvWqsWY","1672133210","GET","/arenda-avto-feodosiya?utm_source=google&utm_medium=cpc&utm_campaign=foxrent&utm_content=&utm_term=%D0%B0%D1%80%D0%B5%D0%BD%D0%B4%D0%B0%20%D0%B0%D0%B2%D1%82%D0%BE%20%D1%84%D0%B5%D0%BE%D0%B4%D0%BE%D1%81%D0%B8%D1%8F"
